#org1	org1_start	org1_end	org2	org2_start	org2_end	score	evalue
Organism_A	25787	22159	Organism_B	18060	25102	20	3.0E-3
Organism_A	67094	70904	Organism_B	78308	72365	55	1.0E-1
Organism_A	89175	91729	Organism_B	93483	95800	17	6.0E-9
Organism_A	37054	41000	Organism_B	31963	35129	85	1.0E-6
Organism_A	79330	83398	Organism_B	88747	91156	34	1.0E-3
Organism_A	48118	52392	Organism_B	55153	58001	22	1.0E-6
Organism_A	56118	60392	Organism_B	48153	51001	22	1.0E-6
Organism_A	3646	11165	Organism_B	1	8849	25	1.0E-6
Organism_A	2496	4785	Organism_C	2847	6242	84	1.0E-1
Organism_A	47190	42480	Organism_C	39740	42370	81	3.0E-6
Organism_A	90769	85978	Organism_C	81030	84955	89	1.0e-5
Organism_A	15379	20039	Organism_C	19576	15745	49	1.4E-2
Organism_A	78849	80452	Organism_C	96055	99938	65	4E-9
Organism_A	29604	33621	Organism_C	31135	35305	9	1.0E-6
Organism_A	54145	60809	Organism_C	59974	65402	9	1.0E-8
Organism_A	66074	70714	Organism_C	78785	72205	52	1.0e-3
Organism_B	23358	16178	Organism_C	33000	29114	10	1.0e-1
Organism_B	24289	28311	Organism_C	16245	19741	6	4.0E-4
Organism_B	70604	75010	Organism_C	62830	58542	84	1.0e-2
Organism_B	12932	8178	Organism_C	6888	9876	17	1.9E-1
Organism_B	35304	41545	Organism_C	43091	37301	26	1.0e-2
Organism_B	58812	65419	Organism_C	45400	50052	17	6.0E-5
Organism_B	92468	98370	Organism_C	92667	84891	7	2.0E-3
Organism_B	77793	80045	Organism_C	77836	82068	90	2E-1
